ftu,BPB_1,BPB_2,BPB_3,BPB_4,BPB_5,DPR_1,DPR_2,DPR_3,DPR_4,DPR_5,HBR_1,HBR_2,HBR_3,HBR_4,HBR_5,KBB_1,KBB_2,KBB_3,KBB_4,KBB_5,MKR_1,MKR_2,MKR_3,MKR_4,MKR_5,PBS_1,PBS_2,PBS_3,PBS_4,PBS_5,PCB_1,PCB_2,PCB_3,PCB_4,PCB_5,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,PCR_1,PCR_2,PCR_3,PCR_4,PCR_5,PCW_1,PCW_2,PCW_3,PCW_4,PCW_5,PMB_1,PMB_2,PMB_3,PMB_4,PMB_5,POB_1,POB_2,POB_3,POC_1,POC_2,POC_3,POC_4,POC_5,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RTCC_1,RTCC_2,RTCC_3,RTCC_4,RTCC_5,RTCR_1,RTCR_2,RTCR_3,RTCR_4,RTCR_5,RTCS_1,RTCS_2,RTCS_3,RTCS_4,RTCS_5,SFMS_1,SFMS_2,SFMS_3,SFMS_4,SFMS_5,SQB_1,SQB_2,SQB_3,SQB_4,SQB_5,SWR_1,SWR_2,SWR_3,SWR_4,SWR_5
basp,1.64,4.29,1.75,3.51,5.88,2.04,NA,NA,NA,NA,NA,8.89,2.13,13.64,15.91,20.75,7.27,2.33,6.25,7.84,5.77,4,7.69,3.7,NA,NA,NA,NA,NA,2.5,NA,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,3.33,NA,NA,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,1.64,NA,4,NA,NA,NA,5,7.5,10,2.5,2.5,1.06,1.16,1.27,NA,NA,NA,NA,NA,NA,1.33
fudi,3.28,4.29,1.75,5.26,1.96,4.08,2,NA,NA,4.08,14.89,8.89,12.77,NA,4.55,7.55,9.09,NA,4.17,1.96,15.38,2,5.77,12.96,12.5,24,NA,NA,NA,7.5,9.09,18.42,25,20,7.04,9.78,6.82,2.97,9.64,3.85,25.49,14.29,17.54,17.24,20,12,4.26,8,10.42,8,23.64,10.29,15.15,4.41,12.31,4.76,38.24,4.92,3.57,3.85,3.28,2.94,1.72,10,14.29,1.75,NA,5.66,NA,1.56,2.99,6.25,1.56,NA,4.84,1.64,NA,3.28,NA,NA,1.96,12,20,35,17.5,7.5,12.5,17.5,23.4,19.77,18.99,17.11,19.61,15.69,5.45,22.41,14.75,24
grav,39.34,22.86,36.84,5.26,3.92,NA,NA,NA,NA,NA,4.26,4.44,NA,NA,NA,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,5.26,9.62,9.23,NA,30.43,10.23,40.59,2.41,3.85,NA,NA,NA,NA,6.67,NA,NA,6,NA,NA,7.27,8.82,NA,NA,NA,NA,NA,NA,1.79,3.85,18.03,38.24,8.62,30,2.04,19.3,3.7,NA,27.27,31.25,29.85,29.69,29.69,8.33,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58,NA,NA,NA,NA,NA,NA
mud,40.98,52.86,49.12,42.11,49.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,NA,4.17,11.76,NA,2,5.77,1.85,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,8.93,1.75,6.9,3.33,NA,NA,NA,NA,NA,NA,NA,1.52,2.94,NA,4.76,5.88,4.92,NA,NA,NA,NA,8.62,2,2.04,3.51,9.26,16.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rock,11.48,11.43,8.77,38.6,29.41,28.57,28,22,16.67,28.57,23.4,33.33,27.66,20.45,31.82,5.66,12.73,20.93,10.42,11.76,28.85,28,19.23,5.56,NA,30,NA,41.46,NA,NA,15.15,9.21,5.77,15.38,9.86,18.48,34.09,10.89,49.4,44.23,39.22,42.86,33.33,39.66,30,32,59.57,40,54.17,50,9.09,7.35,27.27,13.24,6.15,4.76,14.71,37.7,3.57,NA,6.56,NA,5.17,NA,20.41,19.3,35.19,43.4,1.52,7.81,8.96,6.25,4.69,30,20.97,29.51,33.96,37.7,22.5,16,7.84,10,26,5,17.5,47.5,37.5,30,10.64,15.12,7.59,5.26,13.73,15.69,25.45,32.76,19.67,9.33
ulsp,3.28,NA,1.75,1.75,3.92,NA,2,4,NA,2.04,8.51,15.56,23.4,9.09,4.55,9.43,16.36,32.56,25,21.57,15.38,22,36.54,27.78,47.5,6,12.5,NA,12.5,20,27.27,22.37,23.08,20,43.66,20.65,17.05,14.85,13.25,25,7.84,14.29,12.28,5.17,8.33,22,12.77,4,10.42,4,29.09,36.76,31.82,44.12,26.15,52.38,11.76,37.7,33.93,36.54,16.39,20.59,12.07,8,36.73,12.28,16.67,13.21,3.03,9.38,11.94,9.38,17.19,11.67,24.19,34.43,28.3,21.31,37.5,20,35.29,38,18,5,2.5,NA,NA,15,24.47,26.74,40.51,43.42,29.41,17.65,20,8.62,16.39,20
caok,NA,1.43,NA,NA,3.92,NA,NA,NA,NA,NA,2.13,6.67,NA,6.82,6.82,NA,3.64,4.65,2.08,5.88,NA,NA,NA,3.7,2.5,12,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,NA,NA,NA,1.52,NA,NA,NA,14.71,NA,1.79,NA,NA,NA,NA,NA,2.04,NA,1.85,NA,NA,1.56,NA,1.56,NA,1.67,3.23,NA,1.89,NA,NA,4,1.96,NA,NA,5,7.5,NA,17.5,7.5,3.19,1.16,3.8,1.32,3.92,NA,NA,NA,NA,NA
ulen,NA,2.86,NA,1.75,NA,NA,4,2,4.17,4.08,NA,NA,NA,4.55,NA,NA,NA,4.65,4.17,11.76,NA,4,1.92,1.85,NA,2,NA,NA,NA,NA,6.06,6.58,NA,1.54,9.86,5.43,NA,12.87,3.61,5.77,5.88,7.14,8.77,8.62,18.33,8,8.51,16,12.5,20,5.45,17.65,9.09,14.71,7.69,9.52,NA,4.92,8.93,3.85,8.2,NA,3.45,24,10.2,12.28,18.52,3.77,1.52,NA,NA,4.69,7.81,6.67,6.45,NA,3.77,4.92,NA,NA,7.84,14,12,NA,NA,2.5,NA,7.5,12.77,25.58,8.86,6.58,3.92,13.73,10.91,8.62,18.03,6.67
wood,NA,NA,NA,1.75,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,4.55,0.99,NA,NA,1.96,3.57,NA,1.72,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,4.55,NA,NA,1.56,6.25,1.67,NA,3.28,5.66,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mysp,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,3.64,4.65,2.08,NA,NA,NA,1.92,5.56,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA
diat,NA,NA,NA,NA,NA,65.31,64,62,62.5,61.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,1.92,NA,NA,NA,2.5,2,NA,NA,NA,2.5,21.21,3.95,28.85,16.92,16.9,7.61,12.5,2.97,6.02,NA,NA,NA,NA,NA,NA,6,4.26,16,4.17,10,NA,NA,NA,2.94,NA,9.52,NA,3.28,NA,NA,NA,NA,NA,16,10.2,26.32,11.11,7.55,6.06,1.56,2.99,NA,3.12,NA,1.61,NA,NA,3.28,NA,NA,21.57,10,18,NA,NA,NA,NA,NA,8.51,NA,1.27,2.63,NA,13.73,21.82,20.69,27.87,28
sand,NA,NA,NA,NA,NA,NA,NA,8,14.58,NA,NA,NA,NA,NA,NA,5.66,1.82,2.33,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,NA,9.09,5.94,6.02,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,11.54,4.92,11.76,8.62,NA,NA,NA,NA,NA,33.33,37.5,37.31,28.12,23.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
