site_code,richness,scale,,,,,,
BPB,15,site,,,,,,
DPR,15,site,,,,,,
HBR,24,site,,,,,,
KBB,31,site,,,,,,
MKR,28,site,,,,,,
PBS,19,site,,,,,,
PCB,19,site,,,,,,
PCC,15,site,,,,,,
PCR,15,site,,,,,,
PCW,17,site,,,,,,
PMB,16,site,,,,,,
POB,16,site,,,,,,
POC,13,site,,,,,,
RRR,14,site,,,,,,
RTCC,20,site,,,,,,
RTCR,26,site,,,,,,
RTCS,19,site,,,,,,
SFMS,34,site,,,,,,
SQB,17,site,,,,,,
SWR,16,site,,,,,,
BPB,6,tran,,,,,,
DPR,6,tran,,,,,,
HBR,14,tran,,,,,,
KBB,18,tran,,,,,,
MKR,18,tran,,,,,,
PBS,12,tran,,,,,,
PCB,9,tran,,,,,,
PCC,11,tran,,,,,,
PCR,8,tran,,,,,,
PCW,10,tran,,,,,,
PMB,12,tran,,,,,,
POB,9,tran,,,,,,
POC,9,tran,,,,,,
RRR,7,tran,,,,,,
RTCC,7,tran,,,,,,
RTCR,18,tran,,,,,,
RTCS,13,tran,,,,,,
SFMS,13,tran,,,,,,
SQB,12,tran,,,,,,
SWR,10,tran,,,,,,
BPB,14,quad,,,,,,
DPR,15,quad,,,,,,
HBR,21,quad,,,,,,
KBB,27,quad,,,,,,
MKR,27,quad,,,,,,
PBS,17,quad,,,,,,
PCB,17,quad,,,,,,
PCC,11,quad,,,,,,
PCR,14,quad,,,,,,
PCW,14,quad,,,,,,
PMB,12,quad,,,,,,
POB,16,quad,,,,,,
POC,9,quad,,,,,,
RRR,13,quad,,,,,,
RTCC,20,quad,,,,,,
RTCR,23,quad,,,,,,
RTCS,17,quad,,,,,,
SFMS,33,quad,,,,,,
SQB,17,quad,,,,,,
SWR,15,quad,,,,,,
