site_name,old_site_code,date,transect_no,position_m,pred_SWL,pred_time,station,sighter_tidal_ele,pos_tidal_ele,eyeheight_ft,sighter_trans_no,sighter_pos_m,SWL_time _24h,SWL_height_ft,stadia_height_ft,seawall height m,converted to feet,added to elev,physical_features,pf_no,notes
Brickyard Park,BP,5/10/2019,1,0,-0.714,1101,Sausalito,4.8,4.1,5.6,3,7,1057,11.1,6.3,,,,,,
Brickyard Park,BP,5/10/2019,1,8.5,-0.714,1101,Sausalito,4.8,6,5.6,3,7,1057,11.1,4.4,,,,,,Muddy site between rocks and tidal edge
Brickyard Park,BP,5/10/2019,1,13.5,-0.714,1101,Sausalito,4.8,6.5,5.6,3,7,1057,11.1,3.9,,,,,,Transect tape pulled to edge of rocks
Brickyard Park,BP,5/10/2019,1,15,-0.714,1101,Sausalito,4.8,8.5,5.6,3,7,1057,11.1,1.9,,,,,,Used short meter tape for transect width
Brickyard Park,BP,5/10/2019,2,0,-0.714,1101,Sausalito,4.8,3.7,5.6,3,7,1057,11.1,6.7,,,,,,
Brickyard Park,BP,5/10/2019,2,12.3,-0.714,1101,Sausalito,4.8,6.4,5.6,3,7,1057,11.1,4,,,,rock,1,
Brickyard Park,BP,5/10/2019,2,13.1,-0.714,1101,Sausalito,4.8,5.8,5.6,3,7,1057,11.1,4.6,,,,rock,1,
Brickyard Park,BP,5/10/2019,2,13.8,-0.714,1101,Sausalito,4.8,5.8,5.6,3,7,1057,11.1,4.6,,,,rock,1,
Brickyard Park,BP,5/10/2019,2,14.5,-0.714,1101,Sausalito,4.8,7.4,5.6,3,7,1057,11.1,3,,,,rock,2,
Brickyard Park,BP,5/10/2019,2,16.2,-0.714,1101,Sausalito,4.8,8.2,5.6,3,7,1057,11.1,2.2,,,,rock,2,
Brickyard Park,BP,5/10/2019,2,17.3,-0.714,1101,Sausalito,4.8,9,5.6,3,7,1057,11.1,1.4,,,,rock,2,
Brickyard Park,BP,5/10/2019,3,0,-0.714,1101,Sausalito,4.8,3.8,5.6,3,7,1057,11.1,6.6,,,,rock,1,
Brickyard Park,BP,5/10/2019,3,9.1,-0.714,1101,Sausalito,4.8,4.7,5.6,3,7,1057,11.1,5.7,,,,rock,1,
